Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
5E,80C4101040,3B1,F003,3AD,F003,000,0003,0000,084,0100C4
C4,80DE801040,3B1,F003,3AD,F003,000,0003,0000,084,0100C5
C5,8001401040,3B1,F003,3AD,F003,000,0003,0000,084,010001
01,00A0009004,3B1,F003,3B1,F003,000,03B1,0000,084,010002
02,0104009420,3B2,F003,3B1,83A2,000,03B1,0000,084,010003
03,0002009001,3B2,83A2,3B1,83A2,000,03B1,0000,084,010004
04,8109804002,3B2,83A2,3B1,83A2,000,03B1,0000,084,010009
09,800C404002,3B2,83A2,3B1,83A2,000,03B1,0000,084,01000C
0C,8024084002,3B2,83A2,3B1,83A2,000,03B1,0000,084,010024
24,8026804002,3B2,83A2,3B1,83A2,000,03B1,0000,084,010025
25,814A404002,3B2,83A2,3B1,83A2,000,03B1,0000,084,010026
26,0080009001,3B2,83A2,3A2,83A2,000,03B1,0000,084,010027
27,0100000000,3B2,83A2,3A2,0003,000,03B1,0000,084,010028
28,813C804002,3B2,83A2,3A2,0003,000,03B1,0000,084,01003C
3C,8143204002,3B2,83A2,3A2,0003,000,03B1,0000,084,01003D
3D,81E0104002,3B2,83A2,3A2,0003,000,03B1,0000,084,01003E
3E,0001009201,3B2,83A2,3A2,0002,000,03B1,0000,084,01003F
3F,0220009201,3B2,83A2,3A2,0002,000,0001,0000,084,010040
40,80C4804020,3B2,83A2,3A2,0002,000,0001,0000,084,0100C4
C4,80DE801040,3B2,83A2,3A2,0002,000,0001,0000,084,0100C5
C5,8001401040,3B2,83A2,3A2,0002,000,0001,0000,084,010001
01,00A0009004,3B2,83A2,3B2,0002,000,03B2,0000,084,010002
02,0104009420,3B3,83A2,3B2,CEF9,000,03B2,0000,084,010003
03,0002009001,3B3,CEF9,3B2,CEF9,000,03B2,0000,084,010004
04,8109804002,3B3,CEF9,3B2,CEF9,000,03B2,0000,084,010009
09,800C404002,3B3,CEF9,3B2,CEF9,000,03B2,0000,084,01000A
0A,800C204002,3B3,CEF9,3B2,CEF9,000,03B2,0000,084,01000C
0C,8024084002,3B3,CEF9,3B2,CEF9,000,03B2,0000,084,01000D
0D,0020011002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,084,01000E
0E,811C044002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,084,01001C
1C,8120024002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,084,010020
20,8023014002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,084,010023
23,0001009024,3B3,CEF9,3B2,03AC,000,FFF9,0000,084,010024
24,8026804002,3B3,CEF9,3B2,03AC,000,FFF9,0000,084,010025
25,814A404002,3B3,CEF9,3B2,03AC,000,FFF9,0000,084,01004A
4A,8153204002,3B3,CEF9,3B2,03AC,000,FFF9,0000,084,01004B
4B,814E104002,3B3,CEF9,3B2,03AC,000,FFF9,0000,084,01004C
4C,0004009001,3AC,CEF9,3B2,03AC,000,FFF9,0000,084,01004D
4D,80C4101040,3AC,CEF9,3B2,03AC,000,FFF9,0000,084,0100C4
C4,80DE801040,3AC,CEF9,3B2,03AC,000,FFF9,0000,084,0100C5
C5,8001401040,3AC,CEF9,3B2,03AC,000,FFF9,0000,084,010001
01,00A0009004,3AC,CEF9,3AC,03AC,000,03AC,0000,084,010002
02,0104009420,3AD,CEF9,3AC,AAF4,000,03AC,0000,084,010003
03,0002009001,3AD,AAF4,3AC,AAF4,000,03AC,0000,084,010004
04,8109804002,3AD,AAF4,3AC,AAF4,000,03AC,0000,084,010009
09,800C404002,3AD,AAF4,3AC,AAF4,000,03AC,0000,084,01000C
0C,8024084002,3AD,AAF4,3AC,AAF4,000,03AC,0000,084,01000D
0D,0020011002,3AD,AAF4,3AC,AAF4,000,FFF4,0000,084,01000E
0E,811C044002,3AD,AAF4,3AC,AAF4,000,FFF4,0000,084,01000F
0F,0080009024,3AD,AAF4,3A1,AAF4,000,FFF4,0000,084,010010
10,0100000000,3AD,AAF4,3A1,03B6,000,FFF4,0000,084,010011
11,8114024002,3AD,AAF4,3A1,03B6,000,FFF4,0000,084,010014
14,8119014002,3AD,AAF4,3A1,03B6,000,FFF4,0000,084,010015
15,0001009401,3AD,AAF4,3A1,03B7,000,FFF4,0000,084,010016
16,0200000000,3AD,AAF4,3A1,03B7,000,FFF4,0000,084,010017
17,0001009201,3AD,AAF4,3A1,03B6,000,FFF4,0000,084,010018
18,8024101040,3AD,AAF4,3A1,03B6,000,FFF4,0000,084,010024
24,8026804002,3AD,AAF4,3A1,03B6,000,FFF4,0000,084,010025
25,814A404002,3AD,AAF4,3A1,03B6,000,FFF4,0000,084,010026
26,0080009001,3AD,AAF4,3B6,03B6,000,FFF4,0000,084,010027
27,0100000000,3AD,AAF4,3B6,F000,000,FFF4,0000,084,010028
28,813C804002,3AD,AAF4,3B6,F000,000,FFF4,0000,084,01003C
3C,8143204002,3AD,AAF4,3B6,F000,000,FFF4,0000,084,010043
43,8146104002,3AD,AAF4,3B6,F000,000,FFF4,0000,084,010044
44,0010C09001,3AD,AAF4,3B6,F000,000,FFF4,F000,088,100045
45,80C4101040,3AD,AAF4,3B6,F000,000,FFF4,F000,088,1000C4
C4,80DE801040,3AD,AAF4,3B6,F000,000,FFF4,F000,088,1000C5
C5,8001401040,3AD,AAF4,3B6,F000,000,FFF4,F000,088,100001
01,00A0009004,3AD,AAF4,3AD,F000,000,03AD,F000,088,100002
