Адр,МК,IP,CR,AR,DR,SP,BR,AC,PS,NZVCСчМК
28,813C804002,3B2,83A2,3A2,0004,000,03B1,0000,004,01003C
3C,8143204002,3B2,83A2,3A2,0004,000,03B1,0000,004,01003D
3D,81E0104002,3B2,83A2,3A2,0004,000,03B1,0000,004,01003E
3E,0001009201,3B2,83A2,3A2,0003,000,03B1,0000,004,01003F
3F,0220009201,3B2,83A2,3A2,0003,000,0002,0000,004,010040
40,80C4804020,3B2,83A2,3A2,0003,000,0002,0000,004,0100C4
C4,80DE801040,3B2,83A2,3A2,0003,000,0002,0000,004,0100DE
DE,4000000000,3B2,83A2,3A2,0003,000,0002,0000,004,0100DF
DF,8001101040,3B2,83A2,3A2,0003,000,0002,0000,004,010001
01,00A0009004,3B2,83A2,3B2,0003,000,03B2,0000,004,010002
02,0104009420,3B3,83A2,3B2,CEF9,000,03B2,0000,004,010003
03,0002009001,3B3,CEF9,3B2,CEF9,000,03B2,0000,004,010004
04,8109804002,3B3,CEF9,3B2,CEF9,000,03B2,0000,004,010009
09,800C404002,3B3,CEF9,3B2,CEF9,000,03B2,0000,004,01000A
0A,800C204002,3B3,CEF9,3B2,CEF9,000,03B2,0000,004,01000C
0C,8024084002,3B3,CEF9,3B2,CEF9,000,03B2,0000,004,01000D
0D,0020011002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,004,01000E
0E,811C044002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,004,01001C
1C,8120024002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,004,010020
20,8023014002,3B3,CEF9,3B2,CEF9,000,FFF9,0000,004,010023
23,0001009024,3B3,CEF9,3B2,03AC,000,FFF9,0000,004,010024
24,8026804002,3B3,CEF9,3B2,03AC,000,FFF9,0000,004,010025
25,814A404002,3B3,CEF9,3B2,03AC,000,FFF9,0000,004,01004A
4A,8153204002,3B3,CEF9,3B2,03AC,000,FFF9,0000,004,01004B
4B,814E104002,3B3,CEF9,3B2,03AC,000,FFF9,0000,004,01004C
4C,0004009001,3AC,CEF9,3B2,03AC,000,FFF9,0000,004,01004D
4D,80C4101040,3AC,CEF9,3B2,03AC,000,FFF9,0000,004,0100C4
C4,80DE801040,3AC,CEF9,3B2,03AC,000,FFF9,0000,004,0100DE
DE,4000000000,3AC,CEF9,3B2,03AC,000,FFF9,0000,004,0100DF
DF,8001101040,3AC,CEF9,3B2,03AC,000,FFF9,0000,004,010001
01,00A0009004,3AC,CEF9,3AC,03AC,000,03AC,0000,004,010002
02,0104009420,3AD,CEF9,3AC,AAF4,000,03AC,0000,004,010003
03,0002009001,3AD,AAF4,3AC,AAF4,000,03AC,0000,004,010004
04,8109804002,3AD,AAF4,3AC,AAF4,000,03AC,0000,004,010009
09,800C404002,3AD,AAF4,3AC,AAF4,000,03AC,0000,004,01000C
0C,8024084002,3AD,AAF4,3AC,AAF4,000,03AC,0000,004,01000D
0D,0020011002,3AD,AAF4,3AC,AAF4,000,FFF4,0000,004,01000E
0E,811C044002,3AD,AAF4,3AC,AAF4,000,FFF4,0000,004,01000F
0F,0080009024,3AD,AAF4,3A1,AAF4,000,FFF4,0000,004,010010
10,0100000000,3AD,AAF4,3A1,03B5,000,FFF4,0000,004,010011
11,8114024002,3AD,AAF4,3A1,03B5,000,FFF4,0000,004,010014
14,8119014002,3AD,AAF4,3A1,03B5,000,FFF4,0000,004,010015
15,0001009401,3AD,AAF4,3A1,03B6,000,FFF4,0000,004,010016
16,0200000000,3AD,AAF4,3A1,03B6,000,FFF4,0000,004,010017
17,0001009201,3AD,AAF4,3A1,03B5,000,FFF4,0000,004,010018
18,8024101040,3AD,AAF4,3A1,03B5,000,FFF4,0000,004,010024
24,8026804002,3AD,AAF4,3A1,03B5,000,FFF4,0000,004,010025
25,814A404002,3AD,AAF4,3A1,03B5,000,FFF4,0000,004,010026
26,0080009001,3AD,AAF4,3B5,03B5,000,FFF4,0000,004,010027
27,0100000000,3AD,AAF4,3B5,FFFF,000,FFF4,0000,004,010028
28,813C804002,3AD,AAF4,3B5,FFFF,000,FFF4,0000,004,01003C
3C,8143204002,3AD,AAF4,3B5,FFFF,000,FFF4,0000,004,010043
43,8146104002,3AD,AAF4,3B5,FFFF,000,FFF4,0000,004,010044
44,0010C09001,3AD,AAF4,3B5,FFFF,000,FFF4,FFFF,008,100045
45,80C4101040,3AD,AAF4,3B5,FFFF,000,FFF4,FFFF,008,1000C4
C4,80DE801040,3AD,AAF4,3B5,FFFF,000,FFF4,FFFF,008,1000DE
DE,4000000000,3AD,AAF4,3B5,FFFF,000,FFF4,FFFF,008,1000DF
DF,8001101040,3AD,AAF4,3B5,FFFF,000,FFF4,FFFF,008,100001
01,00A0009004,3AD,AAF4,3AD,FFFF,000,03AD,FFFF,008,100002
02,0104009420,3AE,AAF4,3AD,F003,000,03AD,FFFF,008,100003
03,0002009001,3AE,F003,3AD,F003,000,03AD,FFFF,008,100004
04,8109804002,3AE,F003,3AD,F003,000,03AD,FFFF,008,100009
09,800C404002,3AE,F003,3AD,F003,000,03AD,FFFF,008,10000A
0A,800C204002,3AE,F003,3AD,F003,000,03AD,FFFF,008,10000B
0B,8157104002,3AE,F003,3AD,F003,000,03AD,FFFF,008,100057
57,8171084002,3AE,F003,3AD,F003,000,03AD,FFFF,008,100058
58,8166044002,3AE,F003,3AD,F003,000,03AD,FFFF,008,100059
59,8161024002,3AE,F003,3AD,F003,000,03AD,FFFF,008,10005A
5A,815F014002,3AE,F003,3AD,F003,000,03AD,FFFF,008,10005B
5B,80C4041040,3AE,F003,3AD,F003,000,03AD,FFFF,008,1000C4
C4,80DE801040,3AE,F003,3AD,F003,000,03AD,FFFF,008,1000DE
DE,4000000000,3AE,F003,3AD,F003,000,03AD,FFFF,008,1000DF
DF,8001101040,3AE,F003,3AD,F003,000,03AD,FFFF,008,100001
01,00A0009004,3AE,F003,3AE,F003,000,03AE,FFFF,008,100002
02,0104009420,3AF,F003,3AE,7EF4,000,03AE,FFFF,008,100003
03,0002009001,3AF,7EF4,3AE,7EF4,000,03AE,FFFF,008,100004
04,8109804002,3AF,7EF4,3AE,7EF4,000,03AE,FFFF,008,100005
05,810C404002,3AF,7EF4,3AE,7EF4,000,03AE,FFFF,008,10000C
0C,8024084002,3AF,7EF4,3AE,7EF4,000,03AE,FFFF,008,10000D
0D,0020011002,3AF,7EF4,3AE,7EF4,000,FFF4,FFFF,008,10000E
0E,811C044002,3AF,7EF4,3AE,7EF4,000,FFF4,FFFF,008,10001C
1C,8120024002,3AF,7EF4,3AE,7EF4,000,FFF4,FFFF,008,100020
20,8023014002,3AF,7EF4,3AE,7EF4,000,FFF4,FFFF,008,100023
23,0001009024,3AF,7EF4,3AE,03A3,000,FFF4,FFFF,008,100024
24,8026804002,3AF,7EF4,3AE,03A3,000,FFF4,FFFF,008,100026
26,0080009001,3AF,7EF4,3A3,03A3,000,FFF4,FFFF,008,100027
27,0100000000,3AF,7EF4,3A3,8000,000,FFF4,FFFF,008,100028
28,813C804002,3AF,7EF4,3A3,8000,000,FFF4,FFFF,008,100029
29,8130404002,3AF,7EF4,3A3,8000,000,FFF4,FFFF,008,100030
30,8137204002,3AF,7EF4,3A3,8000,000,FFF4,FFFF,008,100037
37,813A104002,3AF,7EF4,3A3,8000,000,FFF4,FFFF,008,10003A
3A,0000E09511,3AF,7EF4,3A3,8000,000,FFF4,FFFF,001,00013B
3B,80C4101040,3AF,7EF4,3A3,8000,000,FFF4,FFFF,001,0001C4
C4,80DE801040,3AF,7EF4,3A3,8000,000,FFF4,FFFF,001,0001DE
DE,4000000000,3AF,7EF4,3A3,8000,000,FFF4,FFFF,001,0001DF
DF,8001101040,3AF,7EF4,3A3,8000,000,FFF4,FFFF,001,000101
01,00A0009004,3AF,7EF4,3AF,8000,000,03AF,FFFF,001,000102
02,0104009420,3B0,7EF4,3AF,F801,000,03AF,FFFF,001,000103
03,0002009001,3B0,F801,3AF,F801,000,03AF,FFFF,001,000104
04,8109804002,3B0,F801,3AF,F801,000,03AF,FFFF,001,000109
09,800C404002,3B0,F801,3AF,F801,000,03AF,FFFF,001,00010A
0A,800C204002,3B0,F801,3AF,F801,000,03AF,FFFF,001,00010B
0B,8157104002,3B0,F801,3AF,F801,000,03AF,FFFF,001,000157
57,8171084002,3B0,F801,3AF,F801,000,03AF,FFFF,001,000171
71,81E0044002,3B0,F801,3AF,F801,000,03AF,FFFF,001,000172
72,81E0024002,3B0,F801,3AF,F801,000,03AF,FFFF,001,000173
73,8176014002,3B0,F801,3AF,F801,000,03AF,FFFF,001,000174
74,806D081040,3B0,F801,3AF,F801,000,03AF,FFFF,001,00016D
6D,815C021040,3B0,F801,3AF,F801,000,03AF,FFFF,001,00016E
6E,80C4101040,3B0,F801,3AF,F801,000,03AF,FFFF,001,0001C4
C4,80DE801040,3B0,F801,3AF,F801,000,03AF,FFFF,001,0001DE
DE,4000000000,3B0,F801,3AF,F801,000,03AF,FFFF,001,0001DF
DF,8001101040,3B0,F801,3AF,F801,000,03AF,FFFF,001,000101
01,00A0009004,3B0,F801,3B0,F801,000,03B0,FFFF,001,000102
02,0104009420,3B1,F801,3B0,EEF2,000,03B0,FFFF,001,000103
03,0002009001,3B1,EEF2,3B0,EEF2,000,03B0,FFFF,001,000104
04,8109804002,3B1,EEF2,3B0,EEF2,000,03B0,FFFF,001,000109
09,800C404002,3B1,EEF2,3B0,EEF2,000,03B0,FFFF,001,00010A
0A,800C204002,3B1,EEF2,3B0,EEF2,000,03B0,FFFF,001,00010B
0B,8157104002,3B1,EEF2,3B0,EEF2,000,03B0,FFFF,001,00010C
0C,8024084002,3B1,EEF2,3B0,EEF2,000,03B0,FFFF,001,00010D
0D,0020011002,3B1,EEF2,3B0,EEF2,000,FFF2,FFFF,001,00010E
0E,811C044002,3B1,EEF2,3B0,EEF2,000,FFF2,FFFF,001,00011C
